device_id,area,industry,name_jp,name_en,lat,lng
1,黒部・宇奈月,体験・観光施設,総湯 湯めどころ宇奈月,Yumedokoro Unazuki,36.8163167,137.5827842
2,黒部・宇奈月,重要交通施設,黒部市地域観光ギャラリー（黒部宇奈月温泉駅）,Kurobe City Tourist Infomation Gallery,36.87376826,137.4812761
3,黒部・宇奈月,体験・観光施設,道の駅KOKOくろべ,Roadside Station Koko Kurobe,36.87731058,137.4278201
4,黒部・宇奈月,体験・観光施設,魚津水族館,Uozu Aquarium,36.7983172,137.388018
5,富山,体験・観光施設,富山市岩瀬エリア（北陸銀行岩瀬支店）,Hokuriku Bank Iwase Branch,36.75666116,137.2287237
6,富山,重要交通施設,ますのすし本舗 源（富山駅）,Masunosushi Minamoto Toyama Sta,36.70133602,137.2133793
7,富山,体験・観光施設,富山市まちなか観光案内所,Toyama Downtown Tourism Information,36.69383116,137.2124736
8,富山,重要交通施設,日産レンタカー富山駅前店,NISSAN Rent-a-Car Toyama Sta,36.70060328,137.2099448
9,富山,重要交通施設,富山空港　国内線付近,Toyama Airport Domestic Terminal,36.64346017,137.1894825
10,富山,重要交通施設,富山空港　国際線付近,Toyama Airport international Terminal,36.64420077,137.1897483
11,高岡・氷見・射水,体験・観光施設,海王丸パーク,Kaiwomaru Park,36.7811342,137.1092219
12,高岡・氷見・射水,体験・観光施設,新湊きっときと市場,Shinminato Kitokito Market,36.78132173,137.0997535
13,高岡・氷見・射水,体験・観光施設,道の駅カモンパーク新湊,Shinminato Roadside Station,36.75195056,137.0849005
14,高岡・氷見・射水,体験・観光施設,道の駅雨晴,Amaharashi Roadside Station,36.8149522,137.0414829
15,高岡・氷見・射水,重要交通施設,ますのすし本舗 源（新高岡駅）,Masunosushi Minamoto Shintakaoka Sta,36.72692481,137.0114777
16,高岡・氷見・射水,体験・観光施設,道の駅 氷見 氷見漁港場外市場 ひみ番屋街,Himi Banya-gai Harbour Market,36.86449407,136.9865724
17,高岡・氷見・射水,体験・観光施設,道の駅メルヘンおやべ,Roadside Station Merchen Oyabe,36.6895402,136.8767349
18,高岡・氷見・射水,重要交通施設,小矢部川SA（下り）,Oyabegawa SA(Down),36.62723199,136.8736353
19,高岡・氷見・射水,重要交通施設,小矢部川SA（上り）,Oyabegawa SA(UP),36.62609109,136.8726105
20,砺波・五箇山,体験・観光施設,道の駅庄川,Roadside station Shogawa,36.5742884,136.9800836
21,砺波・五箇山,体験・観光施設,チューリップ四季彩館,Tonami Tulip Gallery,36.6411529,136.9648698
22,砺波・五箇山,体験・観光施設,五箇山・相倉合掌集落,Gokayama Ainokura,36.42741691,136.9365334
23,能登,特産品・小売店,イカの駅 つくモール,Ikanoeki TsukuMall,37.31265816,137.2304999
25,能登,重要交通施設,のと里山空港,Noto Airport,37.29511271,136.9574889
26,金沢,特産品・小売店,近江町市場,Omicho Market,36.5712204,136.6568026
24,金沢,特産品・小売店,ひがし茶屋街・玉匣,Higashichaya Tamakishige,36.5724679,136.6669396
27,金沢,体験・観光施設,ひがし茶屋街・金箔屋さくだ 本店　,Higashichaya Gold Leaf Sakuda,36.57385866,136.6663069
28,金沢,体験・観光施設,石川県立伝統産業工芸館,Traditional Arts and Crafts of Ishikawa,36.56115303,136.6639819
29,金沢,体験・観光施設,兼六園　桂坂料金所,Kenrokuen Garden katsurazaka,36.56436081,136.6621371
30,金沢,体験・観光施設,金沢城公園　総合案内所,Kanazawa Castle Park Info,36.56575842,136.6613945
31,金沢,体験・観光施設,兼六園　真弓坂料金所,Kenrokuen Garden mayumizaka,36.56215941,136.6605942
32,金沢,体験・観光施設,金沢城公園　五十間長屋,Kanazawa Castle Park Gojukken Nagaya,36.56569769,136.6595692
33,金沢,その他,金沢21世紀美術館,21st Century Museum of Contemporary Art Kanazawa,36.56096179,136.6585305
34,金沢,特産品・小売店,紙文房あらき,Kamibunbou-Araki Origami stationery store,36.5716131,136.655659
35,金沢,その他,尾山神社,Oyama-jinja Shrine,36.56609654,136.6554159
36,金沢,体験・観光施設,金沢中央観光案内所 ,Kanazawa Central Tourist Info CT,36.56650511,136.6536373
37,金沢,体験・観光施設,武家屋敷跡 野村家,Nomura-ke Samurai Residence,36.56421474,136.6500812
38,金沢,重要交通施設,金沢駅観光案内所（金沢駅）,Kanazawa Station Tourist Info CT,36.57855189,136.6486658
39,金沢,体験・観光施設,スカイ獅子吼,Shishiku Highland,36.4464488,136.6480189
40,金沢,重要交通施設,日産レンタカー金沢駅前店,NISSAN Rent-a-Car Kanazawa Sta. store,36.57523138,136.6479981
41,金沢,その他,北陸鉄道チケットセンター,Hokuriku Railroad Ticket Center,36.5781144,136.6464696
42,金沢,その他,金沢港クルーズターミナル,Kanazawa Port Cruise Terminal,36.60798239,136.6144972
43,加賀,重要交通施設,Komatsu 九（小松駅）,Komatsu Nine Shopping Center,36.40172714,136.4529362
44,加賀,重要交通施設,小松空港　レンタカーカウンター,Komatsu Airport Rent-A-Car Info CT,36.40184145,136.4128073
45,加賀,重要交通施設,小松空港　国内線付近,Komatsu Airport Domestic Terminal,36.40186499,136.4128496
46,加賀,重要交通施設,小松空港　国際線付近,Komatsu Airport International Terminal,36.39314542,136.406009
47,加賀,その他,山中温泉総湯 菊の湯,Yamanaka Onsen Kikunoyu,36.24684299,136.3732055
48,加賀,その他,山中座,Yamanakaza Hall,36.24715242,136.3728475
49,加賀,その他,加賀片山津温泉 総湯,Katayamazu Onsen Souyu,36.34533918,136.3689476
50,加賀,その他,山代温泉 総湯,Yamanaka Onsen Souyu,36.28864593,136.3614641
51,加賀,重要交通施設,加賀市観光情報センター （加賀温泉駅）,Kaga City Tourist Info CT(Kagaonsen Sta),36.31980393,136.3516994
52,加賀,重要交通施設,尼御前SA（下り）,Amagozen SA(Down),36.35416458,136.323814
53,加賀,重要交通施設,尼御前SA（上り）,Amagozen SA(UP),36.35126524,136.3227109
54,永平寺・奥越,その他,道の駅 越前おおの荒島の郷,Roadside Station Echizen Ono Arashima no Sato,35.9717444,136.5526415
55,永平寺・奥越,体験・観光施設,越前大仏,Echizen Great Buddha,36.05367434,136.5192086
56,永平寺・奥越,体験・観光施設,福井県立恐竜博物館,Fukui Prefectural Dinosaur Museum,36.0825328,136.5065917
57,永平寺・奥越,体験・観光施設,越前おおの結楽座,Echizen Ono Yuirakuza,35.98479216,136.486941
58,永平寺・奥越,体験・観光施設,大本山永平寺,Eiheiji Temple,36.0566917,136.3568566
59,あわら・坂井,体験・観光施設,丸岡城,Maruoka Castle,36.15236679,136.2721021
60,あわら・坂井,重要交通施設,芦原温泉駅観光案内所（芦原温泉駅）,Awara Onsen Sta Tourist Info CT,36.2149158,136.2347964
61,あわら・坂井,体験・観光施設,あわら湯のまち駅 あわら温泉情報処「おしえる座ぁ」,Oshieruzaa Awara Onsen Info CT,36.22316063,136.193845
62,あわら・坂井,体験・観光施設,東尋坊正太楼,Tojinbo Cliffs Shotaroh,36.2376115,136.1266015
63,福井,体験・観光施設,特別史跡 一乗谷朝倉氏遺跡,Ichijodani Asakura Clan Historic Ruins,35.99948737,136.2959307
64,福井,その他,えちぜん鉄道 福井駅,Echizen Railway Fukui Sta,36.06198951,136.2237914
65,福井,重要交通施設,ふくい観光案内所（福井駅） ,Fukui Tourist Information CT,36.06161976,136.2236096
66,福井,重要交通施設,日産レンタカー福井駅前店,NISSAN Rent-a-Car Fukui Sta. store,36.06292649,136.2218754
67,丹南,重要交通施設,南条SA(下り),Nanjo Rest Area (Down),35.8256725,136.2017076
68,丹南,重要交通施設,南条SA（上り）,Nanjo Rest Area (Up),35.83058903,136.2016403
69,丹南,特産品・小売店,道の駅 南えちぜん山海里,Roadside Station Minami Echizen Sankairi,35.8315816,136.2013107
70,丹南,重要交通施設,道の駅越前たけふ(越前たけふ駅）,Roadside Station Echizen Takefu,35.8950423,136.1981522
71,丹南,体験・観光施設,道の駅 越前,Roadside Station Echizen,35.91986609,135.9969773
72,若狭路,重要交通施設,敦賀駅ハピラインお客様カウンター,Tsuruga Sta Hapi-line Customer Desk,35.64538484,136.0762315
73,若狭路,体験・観光施設,敦賀赤レンガ倉庫,Tsuruga Red Brick Warehouse,35.6620129,136.0745978
74,若狭路,飲食店,日本海さかな街,Nihonkai Sakana Machi,35.634584,136.049895
75,若狭路,体験・観光施設,道の駅 若狭美浜はまびより,Roadside Station Mihama Hamabiyori,35.60455635,135.9366873
76,若狭路,特産品・小売店,道の駅 三方五湖,Roadside Station Mikatagoko,35.5598231,135.8940067
77,若狭路,体験・観光施設,若狭おばま観光案内所,Wakasa-Obama Tourist Info CT,35.4924298,135.7453724
78,若狭路,体験・観光施設,若狭フィッシャーマンズワーフ,Wakasa Fisherman's Wharf,35.5002388,135.7402092
79,立山,その他,立山駅,Tateyama Sta,36.58331427,137.4451733
