number,date,time,gender,age,accuracy,nationality1,accuracy,nationality2,accuracy,nationality3,accuracy,direction
1,2024年10月30日,0:02,0,83,0.66,0,0.22,1,0.52,0,0.44,0.05
2,2024年10月30日,0:02,1,70,0.73,0,0.88,1,0.71,0,0.40,0.11
3,2024年10月30日,0:04,1,41,0.49,0,0.73,1,0.07,0,0.30,0.76
4,2024年10月30日,0:05,1,46,0.18,1,0.13,0,0.57,1,0.42,0.93
5,2024年10月30日,0:05,0,20,0.45,0,0.87,1,0.12,0,0.67,0.99
6,2024年10月30日,0:07,0,51,0.11,1,0.47,0,0.91,1,0.89,0.91
7,2024年10月30日,0:08,1,65,0.22,1,0.79,0,0.91,0,0.89,0.28
8,2024年10月30日,0:08,0,97,0.99,0,0.37,1,0.50,1,0.33,0.69
9,2024年10月30日,0:10,0,54,0.27,1,0.07,0,0.02,1,0.53,0.85
10,2024年10月30日,0:10,1,31,0.80,0,0.47,1,0.90,0,0.16,0.75
11,2024年10月30日,0:10,1,2,0.95,0,0.29,1,0.31,1,0.65,0.77
12,2024年10月30日,0:14,0,96,0.78,0,0.75,1,0.35,1,0.67,0.53
13,2024年10月30日,0:16,1,26,0.03,1,0.24,0,0.26,1,0.81,0.65
14,2024年10月30日,0:16,1,59,0.73,0,0.78,1,0.01,0,0.26,0.48
15,2024年10月30日,0:16,0,23,0.85,0,0.72,1,0.78,0,0.37,0.08
16,2024年10月30日,0:16,0,71,0.82,0,0.29,1,0.82,0,0.57,0.02
17,2024年10月30日,0:16,0,41,0.10,1,0.24,0,0.68,0,0.25,0.05
18,2024年10月30日,0:20,1,48,1.00,0,0.39,1,0.25,0,0.68,0.87
19,2024年10月30日,0:21,0,74,0.98,0,0.45,1,0.87,0,0.12,0.83
20,2024年10月30日,0:22,1,82,0.01,1,0.50,0,0.68,1,0.90,0.35
21,2024年10月30日,0:23,0,91,0.79,0,0.08,1,0.94,0,0.53,0.06
22,2024年10月30日,0:23,0,44,0.27,1,0.63,0,0.26,1,0.92,0.58
23,2024年10月30日,0:23,0,48,0.99,0,0.74,1,0.67,0,0.73,0.78
24,2024年10月30日,0:23,0,24,0.59,0,0.35,1,0.39,1,0.77,0.80
25,2024年10月30日,0:24,1,95,0.00,1,0.35,0,0.72,0,0.87,0.88
